id_usuario,activaToken,logIns, fecha_registro, dg_1, dg_2, dg_3, dg_4, dg_5, dg_6, dg_7,dg_8, fecha_resp_DG
43193,Activo,1,16/01/2024 16:32,3,2,34,2,1,4,3,2,16/01/2024 16:35
43198,Activo,1,16/01/2024 21:07,1,2,33,2,1,2,4,2,16/01/2024 21:12
43200,Activo,1,17/01/2024 00:24,1,2,29,1,0,2,4,2,17/01/2024 00:27
43201,Activo,2,17/01/2024 03:20,2,2,21,1,0,6,2,3,17/01/2024 03:25
43208,Activo,2,18/01/2024 10:16,1,2,43,4,1,4,4,3,18/01/2024 10:20
43209,Activo,1,18/01/2024 12:33,1,2,22,1,0,1,4,3,18/01/2024 12:55
43210,Activo,1,18/01/2024 13:09,2,2,35,4,0,3,5,2,18/01/2024 13:13
43211,Activo,1,18/01/2024 21:08,2,2,40,3,0,4,5,3,18/01/2024 21:10
43212,Activo,1,19/01/2024 22:29,1,2,19,1,0,1,4,2,19/01/2024 22:32
43222,Activo,2,21/01/2024 13:10,1,2,31,2,1,2,4,2,21/01/2024 13:14
43225,Activo,1,22/01/2024 00:26,2,1,34,1,1,4,4,3,22/01/2024 00:30
43236,Activo,1,22/01/2024 11:55,1,2,25,1,0,4,4,3,22/01/2024 11:57
43237,Activo,2,22/01/2024 12:37,2,1,39,4,1,3,4,3,22/01/2024 12:40
43241,Activo,1,22/01/2024 12:46,1,2,43,1,1,4,4,3,22/01/2024 12:48
43238,Activo,1,22/01/2024 12:45,2,2,49,4,1,6,5,1,22/01/2024 14:48
43244,Activo,1,22/01/2024 15:37,2,1,37,3,0,4,4,3,22/01/2024 15:40
43247,Activo,2,22/01/2024 16:23,1,2,14,1,0,1,2,3,22/01/2024 16:25
43251,Activo,1,22/01/2024 18:53,2,2,23,1,0,4,3,3,22/01/2024 18:58
43252,Activo,1,22/01/2024 19:47,1,2,12,1,0,1,2,3,22/01/2024 19:50
43254,Activo,1,23/01/2024 00:34,1,1,28,3,1,4,5,3,23/01/2024 00:35
43255,Activo,1,23/01/2024 01:28,2,2,16,1,0,1,3,2,23/01/2024 01:31
43259,Activo,1,23/01/2024 10:38,2,1,24,1,0,3,4,3,23/01/2024 10:40
43262,Activo,1,23/01/2024 14:29,2,2,28,1,0,3,4,1,23/01/2024 14:30
43268,Activo,1,23/01/2024 18:14,2,1,32,4,1,4,3,3,23/01/2024 18:19
43270,Activo,1,24/01/2024 01:38,2,2,21,1,0,4,4,2,24/01/2024 01:40
43272,Activo,1,24/01/2024 11:42,2,2,32,2,1,4,4,3,24/01/2024 11:44
43273,Activo,2,24/01/2024 13:18,2,2,58,3,1,6,2,1,24/01/2024 13:23
43274,Activo,1,24/01/2024 15:27,2,1,36,2,1,5,4,3,24/01/2024 15:36
43276,Activo,1,24/01/2024 20:17,1,2,13,1,0,1,2,2,24/01/2024 20:19
43279,Activo,1,25/01/2024 03:00,2,2,42,4,1,4,5,3,25/01/2024 03:03
43280,Activo,1,25/01/2024 05:52,1,2,32,2,1,4,3,3,25/01/2024 05:56
43282,Activo,1,25/01/2024 12:40,2,2,29,1,0,4,4,3,25/01/2024 12:42
43284,Activo,1,25/01/2024 15:12,2,2,43,2,1,3,4,2,25/01/2024 15:17
43292,Activo,1,26/01/2024 10:57,1,1,29,1,0,4,4,3,26/01/2024 11:03
43295,Activo,5,27/01/2024 01:06,1,2,23,1,0,6,3,1,27/01/2024 01:09
43299,Activo,1,27/01/2024 14:29,2,1,26,2,0,5,2,3,27/01/2024 14:37
43300,Activo,1,27/01/2024 17:15,2,2,25,1,0,5,4,3,27/01/2024 17:17
43301,Activo,5,28/01/2024 01:21,1,1,25,1,0,5,3,3,28/01/2024 01:28
43302,Activo,1,28/01/2024 11:29,2,1,24,1,0,4,2,2,28/01/2024 11:33
43303,Activo,1,28/01/2024 22:17,2,1,50,3,1,4,4,3,28/01/2024 22:20
43304,Activo,1,29/01/2024 12:26,1,2,30,2,0,4,5,3,29/01/2024 12:28
43305,Activo,1,29/01/2024 14:16,2,2,28,1,1,4,3,3,29/01/2024 14:18
43308,Activo,3,29/01/2024 22:12,2,2,46,3,1,2,2,3,29/01/2024 22:17
